,Price in Rupees,Ram,Rom,Expandable_GB/TB,Dual_sim,Screen_in_inch,Secondary_Camera(MP),Battery_details,Warranty(Year)
651,103,3,5,6,1,26,6,30,1
652,71,1,4,6,1,24,4,43,1
653,61,1,3,6,1,24,3,30,1
654,61,1,3,6,1,24,3,30,1
655,128,3,5,6,1,17,8,29,1
656,37,1,3,6,1,8,3,23,0
657,84,2,5,6,1,26,6,34,0
658,77,2,4,6,1,26,6,34,0
659,77,2,4,6,1,26,6,34,0
660,36,0,3,2,1,6,4,49,0
661,24,0,3,2,1,6,4,49,0
662,14,0,2,2,1,2,2,4,1
663,38,2,3,4,1,5,3,24,1
664,39,1,3,4,1,6,3,49,1
665,11,0,2,2,1,5,2,5,1
666,18,0,2,2,1,5,2,41,1
667,83,2,4,5,1,9,3,50,1
668,72,2,4,5,1,9,4,34,1
669,97,1,4,5,1,5,4,10,0
670,80,3,5,6,1,17,4,38,1
671,80,3,5,6,1,17,4,38,1
672,147,5,6,6,1,33,6,49,1
673,147,5,6,6,1,33,6,49,1
674,140,5,6,6,1,28,3,36,1
675,150,3,5,5,1,10,4,22,1
676,121,4,5,5,1,26,4,36,0
677,138,7,5,5,1,4,4,41,1
678,150,4,6,6,1,28,7,41,1
679,132,4,6,8,1,26,8,39,1
680,149,7,5,8,1,9,8,41,1
681,149,6,5,8,1,9,8,34,1
682,134,4,6,6,1,28,3,36,1
683,150,3,5,5,1,10,4,22,1
684,140,5,6,6,1,28,3,36,1
685,148,4,5,6,1,26,4,31,0
686,150,4,6,6,1,9,6,22,1
687,150,2,4,5,1,6,4,22,1
688,123,4,5,5,1,18,4,34,0
689,150,3,5,0,1,9,3,15,1
690,150,3,5,0,1,9,3,15,1
691,150,2,4,5,1,6,4,22,1
692,150,2,4,5,1,6,4,22,1
693,140,5,6,6,1,29,9,36,1
694,148,4,5,6,1,26,4,31,0
695,148,4,5,6,1,26,4,31,0
